1,Gabriel,Dennis,gabrieldennis662@aol.com,985 Raven Junction,Phoenix,AZ,85001,2021-09-20,1/6/1994,m,73,135,3,28.5,322
2,Caden,Mclean,mclean.c@live.com,552 Fulton Trail,Dillon,CO,80435,2019-01-31,10/3/1961,m,68,132,3,28.5,327
3,Collin,Rojas,collinrojas223@zoho.com,17694 Old Shore Hill,Carson City,NV,89403,2020-01-02,6/16/2000,m,69,184,1,30.5,342
4,Seth,Case,sethc552@icloud.com,32963 Leroy Parkway,Lakewood,CO,80123,2018-11-24,7/7/1970,m,63,189,2,29.5,334
5,George,Sosa,sosa.g@hotmail.com,5 Pine View Plaza,Bozeman,MT,59715,2021-10-05,3/14/1968,m,69,185,3,25.5,295
6,Jalen,Curtis,curtisjalen388@yahoo.com,6802 Memorial Street,Stockton,CA,95201,2021-12-30,5/19/1961,m,68,162,3,26.5,307
7,Sebastian,Long,longsebastian192@zoho.com,7594 Center Street,Sanford,ME,04073,2021-01-18,4/21/1987,m,70,207,2,28.5,326
8,Nathaniel,Ramos,nathanielramos912@hotmail.com,84938 Cardinal Plaza,Butte,MT,59701,2021-11-26,4/27/1998,m,66,164,2,28.5,322
9,Andres,Harris,andresharris225@yahoo.com,6340 Armistice Parkway,San Jose,CA,95002,2016-12-16,11/12/1997,m,69,182,2,26.5,308
10,Marco,Coleman,marcocoleman364@icloud.com,52 Golf View Lane,Denver,CO,80012,2020-09-30,12/25/2001,m,69,217,2,25.5,294
11,Logan,Espinoza,loganespinoza103@gmail.com,24411 Bartillon Road,Yuba City,CA,95991,2018-08-24,4/16/1994,m,73,179,3,22.5,267
12,Matthew,Shannon,shannon.m@gmail.com,4 Hovde Court,Sandy,UT,84070,2019-01-02,11/7/1985,m,71,177,3,31.5,354
13,Wyatt,Reynolds,wyattr353@gmx.com,16 Ilene Plaza,Taos,NM,87525,2020-12-22,6/26/1968,m,69,184,1,26.5,306
14,Isabella,Avila,isabellaa281@protonmail.com,808 7th Alley,Flagstaff,AZ,86001,2021-12-08,6/10/1976,f,65,133,1,24.5,285
15,Josiah,Miller,miller.j@protonmail.com,1866 Thompson Way,Sacramento,CA,94203,2021-10-08,6/15/1983,m,68,184,2,25.5,297
16,Caden,Osborne,osbornecaden406@gmx.com,3262 Hintze Court,Denver,CO,80012,2021-01-11,8/5/2000,m,68,185,2,23.5,273
17,Jeffrey,Zimmerman,zimmermanjeffrey60@live.com,1165 Namekagon Drive,Brigham City,UT,84302,2020-01-10,12/12/1978,m,66,158,1,28.5,325
18,Eduardo,Gallagher,eduardog120@live.com,6 Rusk Place,Santa Fe,NM,87501,2018-12-15,9/23/2002,m,70,197,1,27.5,314
19,Sadie,Goodwin,goodwin.s@icloud.com,549 Vernon Street,Bend,OR,97701,2020-01-06,3/29/1988,f,64,131,2,24.5,284
20,Peyton,Burgess,burgesspeyton365@gmx.com,1 Lakewood Crossing,Madison,WI,53558,2021-10-15,3/27/1981,m,64,144,3,27.5,312
21,Donovan,Friedman,friedmandonovan750@zoho.com,648 Browning Pass,Harrisburg,PA,17101,2019-12-31,7/21/1999,m,66,168,1,24.5,286
22,Brady,Burnett,burnett.b@gmail.com,4852 Bluestem Circle,Denver,CO,80012,2021-01-03,4/27/1966,m,70,144,3,28.5,326
23,Angela,Farrell,farrellangela348@gmx.com,37124 Hanson Hill,York,ME,03909,2019-12-17,8/26/1991,f,66,131,3,26.5,304
24,Michael,Daniel,daniel.m@icloud.com,7 Fulton Road,Brigham City,UT,84302,2018-09-02,7/3/1996,m,69,172,3,25.5,294
25,Paul,Patel,patelpaul517@aol.com,44 Jay Circle,Bangor,ME,04401,2021-10-24,9/25/1968,m,72,211,1,22.5,262
26,Andrea,Nunez,nunezandrea204@aol.com,7 Riverside Road,Milwaukee,WI,53201,2016-01-02,12/27/1996,f,67,117,2,24.5,286
27,Gabrielle,Waller,gabriellew542@hotmail.com,7378 Manufacturers Way,Asheville,NC,28715,2020-12-17,5/31/1964,f,63,115,2,26.5,303
28,Shane,Gross,grossshane812@hotmail.com,0 Mcbride Park,Somerset,PA,15501,2021-10-17,7/14/1975,m,70,134,3,24.5,286
29,Jordan,Hodges,hodgesjordan720@live.com,97565 Fairview Parkway,Dillon,CO,80435,2018-01-30,7/26/1989,f,62,160,2,27.5,318
30,Colby,Frazier,fraziercolby278@zoho.com,83 Susan Junction,Boston,MA,02111,2020-12-06,10/29/1975,m,69,180,3,28.5,325
31,Oscar,Moses,moses.o@gmail.com,197 Hagan Center,New York,NY,10001,2020-09-13,11/9/1966,m,67,214,3,30.5,343
