1,Bradley,Richard,richardbradley906@protonmail.com,4549 Oak Valley Place,Bellingham,WA,98225,2021-10-18,12/5/1993,m,65,217,2,26.5,302
2,Daniel,Gould,gould.d@zoho.com,4995 Mendota Court,Denver,CO,80012,2020-11-14,12/23/1987,m,69,161,2,24.5,288
3,Angel,Banks,angelb914@aol.com,7720 Bunker Hill Center,Flagstaff,AZ,86001,2021-11-03,4/11/1971,m,70,172,1,27.5,318
4,Gregory,Lloyd,gregoryl765@yahoo.com,1 Derek Center,Stockton,CA,95201,2021-10-07,9/30/1997,m,73,204,3,27.5,314
5,Addison,Fitzpatrick,addisonf37@icloud.com,079 Jenna Lane,Rigby,ID,83442,2020-10-29,5/24/1991,f,65,154,3,26.5,304
6,Ian,Kirby,iank935@protonmail.com,1 Old Gate Trail,Sacramento,CA,94203,2021-11-17,2/16/1997,m,73,180,2,30.5,348
7,Brittany,Ponce,brittanyponce394@aol.com,81640 Fordem Alley,Burlington,VT,05401,2021-01-15,6/30/1966,f,64,165,2,27.5,313
8,Gregory,Ray,gregoryr282@live.com,59787 Lindbergh Terrace,Salt Lake City,UT,84101,2020-12-24,6/23/1996,m,69,145,2,24.5,284
9,Oliver,Soto,oliversoto694@gmail.com,1 2nd Road,Bellefontaine,OH,43311,2016-10-29,12/21/1973,m,72,186,3,26.5,302
10,Ava,Banks,avab760@hotmail.com,2 Lerdahl Alley,Biddeford,ME,04005,2021-01-03,12/22/2004,f,63,127,3,26.5,303
11,Samantha,Morris,morris.s@protonmail.com,49996 Maryland Center,Salt Lake City,UT,84101,2021-10-24,8/18/1982,f,68,131,3,23.5,274
12,Andrew,Guzman,guzman.a@gmail.com,0 Di Loreto Pass,Lewiston,ME,04240,2021-10-13,3/29/1988,m,73,195,3,27.5,313
13,Brandon,Cantrell,cantrell.b@gmx.com,0110 Starling Hill,Bangor,ME,04401,2021-11-25,2/6/1973,m,72,170,3,23.5,272
14,Hector,Carrillo,carrillohector810@live.com,6 Harper Place,Troy,NY,12180,2018-01-22,9/28/1966,m,66,226,2,28.5,325
15,Marco,Campbell,marcoc32@hotmail.com,03 Jana Trail,Dillon,CO,80435,2021-08-20,12/30/2001,m,73,171,2,25.5,292
16,Erick,Rice,erickrice907@protonmail.com,7111 Debs Road,Denver,CO,80012,2021-01-07,12/21/1981,m,65,185,3,28.5,323
17,Travis,Baxter,baxter.t@zoho.com,3 Montana Plaza,Denver,CO,80012,2021-01-24,11/6/1974,m,64,158,2,27.5,314
18,Stephen,Simmons,simmons.s@gmail.com,3 Knutson Trail,South Lake Tahoe,CA,96150,2017-08-12,5/31/1993,m,72,151,2,27.5,315
19,Lauren,Rose,laurenr569@protonmail.com,4065 Montana Junction,Syracuse,NY,13201,2021-12-05,8/11/1995,f,59,176,1,26.5,307
20,Isabel,Bridges,isabelbridges739@gmx.com,0 Meadow Vale Pass,Yuba City,CA,95991,2021-10-13,1/9/1990,f,60,130,2,24.5,285
21,Micah,Wood,micahw766@live.com,39 Grim Point,Biddeford,ME,04005,2021-01-06,4/29/1974,m,69,188,3,24.5,285
22,Zoey,Delgado,zoeyd49@live.com,5968 Caliangt Lane,Madison,WI,53558,2021-10-31,8/3/2002,f,63,145,3,26.5,304
23,Marco,Sandoval,marcos169@icloud.com,882 Hauk Drive,Fort Collins,CO,80521,2021-01-04,7/1/1987,m,74,239,1,26.5,306
24,Conner,Baxter,connerbaxter513@zoho.com,15238 Aberg Hill,Petoskey,MI,49770,2021-10-27,8/22/1989,m,74,172,2,26.5,305
25,Sergio,Hoffman,hoffman.s@gmx.com,9284 Mallard Terrace,Anaconda,MT,59711,2021-12-22,6/2/1999,m,66,179,3,25.5,298
26,Victor,Wang,victorwang239@zoho.com,8956 Glacier Hill Point,Denver,CO,80012,2020-11-12,11/16/1979,m,73,198,3,23.5,273
27,Thomas,Lindsey,lindsey.t@hotmail.com,509 Homewood Avenue,Pittsfield,MA,01201,2021-11-21,1/14/1992,m,70,173,1,30.5,342
28,Colton,Roman,coltonr521@protonmail.com,0676 Swallow Street,Killington,VT,05751,2021-08-20,6/9/1997,m,67,171,3,27.5,312
