CustomerID,FirstName,LastName,Email,Street,City,State,Zipcode,SignupDate,DOB,Gender,Height,Weight,Ability,BootSize,BSL
1,Luis,Lloyd,lloyd.l@gmail.com,794 Esker Park,Bellingham,WA,85230-4619,5/29/2019,9/7/1992,m,71,109,2,30.5,342
2,Rebecca,Carlson,carlson.r@hotmail.com,980 Sunbrook Court,Chico,CA,71287-8750,6/13/2020,1/3/1962,f,65,141,2,25.5,294
3,Kaden,Weber,weber.k@yahoo.com,6606 Rowland Hill,Medford,OR,33613-7161,3/31/2021,1/29/1966,m,66,175,3,24.5,287
4,David,Frazier,frazier.d@protonmail.com,36578 Forster Hill,Colorado Springs,CO,80861-2484,10/10/2016,11/11/1996,m,64,155,1,26.5,303
5,Leonardo,Barber,barber.l@protonmail.com,29870 Tennyson Plaza,Seattle,WA,14652-9733,1/2/2018,2/3/1970,m,71,177,3,26.5,307
6,Daniel,Kemp,kemp.d@gmail.com,84 Lien Terrace,Polson,MT,64669-2023,3/22/2017,4/5/2003,m,72,164,3,26.5,305
7,Gavin,Horton,horton.g@gmx.com,2 Jackson Junction,Worland,WY,54342-1292,4/4/2020,9/11/1981,m,67,203,3,26.5,307
8,Javier,French,french.j@icloud.com,06 Hallows Terrace,Santa Fe,NM,22301-7880,10/25/2017,5/13/1976,m,71,183,3,22.5,265
9,Carlos,Jarvis,jarvis.c@aol.com,1679 Lerdahl Pass,Santa Cruz,CA,79099-9375,11/12/2020,12/11/1962,m,65,192,2,23.5,277
10,Javier,Gardner,gardner.j@yahoo.com,1 Blackbird Hill,Seattle,WA,52918-2271,10/20/2020,10/7/1970,m,74,192,3,24.5,288
11,Vanessa,Walls,walls.v@zoho.com,19393 Drewry Circle,Logan,UT,30461-9619,4/22/2020,2/15/1968,f,64,142,2,28.5,325
12,Brianna,Olson,olson.b@icloud.com,7 Beilfuss Parkway,Sandy,UT,15453-7239,5/14/2021,6/9/1990,f,63,166,2,29.5,333
13,Isaiah,Sellers,sellers.i@zoho.com,6 Miller Place,Butte,MT,10157-4788,10/15/2018,2/15/1976,m,69,188,1,27.5,316
14,Madison,Houston,houston.m@zoho.com,3842 Vera Court,Freeport,NY,85822-7808,6/8/2019,11/10/1977,f,63,141,1,26.5,304
15,Valeria,Bond,bond.v@icloud.com,1136 Hollow Ridge Street,West Jordan,UT,81845-8005,3/3/2018,6/26/1977,f,62,108,3,26.5,303
16,Christian,Banks,banks.c@zoho.com,37536 Ilene Way,Santa Fe,NM,81729-5179,8/2/2017,1/7/1970,m,78,181,2,28.5,327
17,Johnathan,Schaefer,schaefer.j@gmail.com,213 Goodland Circle,Saco,ME,99886-3821,7/30/2019,1/1/1962,m,69,177,3,26.5,308
18,Josiah,Sweeney,sweeney.j@gmx.com,59 Annamark Way,Albany,NY,31095-2173,4/25/2019,12/11/1986,m,69,184,3,23.5,277
19,Chase,Stone,stone.c@icloud.com,8 Logan Place,Nampa,ID,50285-6513,4/11/2017,1/23/1972,m,67,142,3,24.5,284
20,Christopher,Garner,garner.c@live.com,74983 Main Plaza,Eugene,OR,25628-2235,5/6/2020,3/21/1984,m,66,161,1,28.5,327
