8211 Graceland Street,2/6/1999,7/3/2018
3103 Fieldstone Lane,4/25/1990,7/7/2021
14404 Westridge Trail,6/8/1996,1/27/2019
7794 Sheridan Crossing,12/9/1960,4/16/2018
566 Pierstorff Center,12/9/1983,11/15/2020
865 Daystar Center,11/26/1974,12/15/2019
03 Monument Drive,1/8/1987,1/16/2017
05 Iowa Avenue,4/30/1995,6/21/2017
33 Butterfield Pass,3/18/1963,1/3/2018
5968 Caliangt Lane,2/8/1992,2/1/2017
932 Vidon Terrace,11/16/1975,7/30/2019
804 Oak Court,6/19/1986,7/26/2021
60 Barnett Crossing,2/11/1981,5/3/2018
72266 Westerfield Road,5/28/1978,12/19/2018
72 South Way,8/5/1996,9/1/2019
111 Mesta Center,9/2/1961,4/3/2021
232 Commercial Circle,6/23/1968,5/17/2018
45323 Stone Corner Plaza,10/22/1991,12/21/2016
1 Blackbird Hill,3/18/1992,5/31/2020
195 Evergreen Court,7/1/1979,12/30/2020
808 7th Alley,8/8/2002,11/22/2018
90005 Carey Parkway,8/29/1994,4/19/2019
40 Superior Court,2/9/1992,3/14/2021
079 Jenna Lane,8/4/1967,7/15/2021
217 Fuller Road,9/4/1963,1/18/2019
600 Victoria Road,5/4/1982,7/17/2019
15 Nevada Drive,5/1/2005,6/24/2018
260 Muir Trail,8/21/1965,10/21/2018
8 Lotheville Parkway,11/14/1976,9/22/2018
9150 Southridge Way,5/19/1973,12/24/2020
53940 Forest Road,12/18/1986,7/26/2020
84269 Sunbrook Plaza,2/9/1967,12/19/2018
4348 Everett Circle,10/28/2002,6/23/2021
1 South Alley,8/13/1985,4/14/2020
96454 Calypso Trail,4/28/1971,8/25/2019
144 New Castle Terrace,11/30/1964,10/7/2018
5 Cascade Avenue,7/30/1973,7/14/2020
95 Johnson Park,2/24/1973,10/16/2018
0719 Oak Lane,11/18/1981,7/6/2018
8 Blaine Hill,9/12/1978,5/25/2019
7291 Towne Street,8/3/1976,9/11/2018
94396 1st Lane,1/26/1991,3/8/2019
1 Karstens Street,8/15/1961,8/13/2018
07834 Leroy Trail,11/18/1968,4/25/2021
783 Dwight Terrace,3/21/1984,9/10/2020
67818 Myrtle Court,12/6/1989,2/16/2018
03906 Calypso Lane,11/18/1990,2/15/2020
27 Mccormick Crossing,11/26/1998,3/23/2019
69 Springs Pass,12/31/1978,11/14/2020
921 Sugar Way,2/8/2001,9/10/2017
50 Birchwood Terrace,8/13/2005,1/27/2021
4 Rieder Pass,8/25/1988,11/7/2016
9918 Columbus Park,7/7/1972,8/23/2018
4021 Elka Road,8/10/1966,5/21/2020
0181 Haas Terrace,4/27/1998,9/8/2020
256 Lawn Hill,11/3/1977,1/5/2017
565 Oxford Park,10/17/1972,5/4/2018
21932 Elmside Place,10/6/2001,10/15/2016
7 Riverside Road,11/21/2001,8/27/2021
86 John Wall Place,9/23/1985,2/6/2018
217 Homewood Crossing,8/23/2000,9/18/2017
1436 Corry Place,8/6/1984,9/4/2021
82 Barby Circle,6/6/2001,1/10/2020
11237 Village Avenue,4/18/1970,7/4/2018
6724 Garrison Parkway,8/4/2000,10/19/2019
07551 Browning Parkway,9/29/1985,12/11/2020
92660 Comanche Hill,10/1/1977,8/16/2020
748 Westport Way,12/11/1968,7/19/2020
739 Gateway Center,9/24/1998,6/16/2021
338 Village Green Drive,7/11/2000,5/6/2019
7647 Dryden Street,6/10/1987,6/5/2017
0740 Bay Junction,11/28/1960,4/12/2021
167 Dottie Street,9/21/1968,6/10/2020
61651 Menomonie Lane,12/6/1976,3/10/2020
7 Manitowish Place,9/7/1991,2/14/2020
7106 Jenna Way,9/26/1967,2/15/2019
561 6th Center,7/13/2000,12/20/2018
4103 Melby Plaza,11/4/1988,2/21/2017
4 Alpine Crossing,8/6/2005,7/16/2020
0779 Lien Hill,7/16/1994,4/4/2018
4290 Holmberg Way,2/24/2003,10/22/2020
4 Superior Court,8/1/1979,2/15/2017
456 Menomonie Circle,11/19/1983,11/27/2020
197 Buena Vista Terrace,9/14/1967,5/25/2020
59658 Charing Cross Plaza,4/10/1974,9/1/2018
0 Di Loreto Pass,2/15/1991,8/22/2021
91906 Ohio Circle,12/3/1988,8/5/2021
5661 Alpine Street,7/30/1976,9/19/2021
246 Ruskin Point,6/21/1982,1/2/2019
69 Oak Valley Circle,9/19/1977,12/31/2020
96 Talisman Road,3/17/2001,2/5/2020
2723 Killdeer Court,6/3/1987,6/18/2017
99 Sommers Place,3/14/1975,9/9/2020
49996 Maryland Center,10/21/1972,3/3/2019
462 Moose Street,7/1/1991,7/13/2020
5 Cordelia Alley,10/14/1982,12/26/2018
13812 Village Junction,4/6/1970,12/27/2020
8 Eliot Avenue,6/16/1966,12/23/2020
9 Arkansas Plaza,9/15/2005,2/6/2021
384 Novick Junction,3/19/1977,3/7/2020
3497 Aberg Terrace,12/20/1989,2/14/2019
88866 Hagan Pass,8/19/1974,4/27/2021
693 Colorado Alley,1/2/1995,11/28/2017
86300 Summer Ridge Alley,4/23/1979,8/9/2019
208 Badeau Parkway,4/30/1965,8/22/2018
35 Duke Avenue,10/17/1968,1/31/2018
4 Reindahl Park,5/2/1995,10/21/2017
618 Holmberg Plaza,1/7/1976,2/16/2018
36 Dawn Trail,12/3/2001,4/23/2021
4 Petterle Pass,4/25/1979,11/20/2020
0317 Laurel Hill,7/17/2004,9/26/2018
8 Mosinee Place,6/22/1984,2/22/2020
14218 La Follette Pass,6/23/1968,7/6/2020
454 Huxley Way,8/24/1961,8/27/2018
22 Lakeland Terrace,1/23/1999,6/29/2018
8 Tennessee Center,11/2/1964,4/30/2018
49897 Dakota Junction,11/22/1980,9/25/2018
01 Badeau Lane,11/1/1999,11/24/2020
6 Bashford Lane,8/1/1978,11/28/2018
41 Hazelcrest Way,5/28/2002,9/15/2018
40034 1st Center,12/17/1989,7/22/2017
56 Barby Center,6/27/1961,8/5/2020
0 Michigan Court,9/10/1987,3/2/2021
108 Luster Alley,5/31/1964,2/8/2017
8643 Algoma Trail,7/22/1964,7/17/2017
6952 Village Green Terrace,10/24/1973,2/1/2021
4677 Lawn Plaza,4/16/1976,8/7/2019
160 Sunbrook Junction,11/15/1997,4/4/2020
66253 Towne Junction,5/31/1993,2/6/2020
99 Hazelcrest Avenue,1/12/1964,2/4/2017
4 Warbler Road,8/31/1998,12/26/2017
4788 Cascade Alley,1/1/1968,1/18/2018
902 Meadow Valley Plaza,6/18/1980,12/31/2018
611 Fairfield Park,6/23/1995,8/19/2017
92358 Superior Alley,9/14/1975,11/20/2018
85051 Kensington Hill,9/5/1991,2/21/2017
5 Kennedy Alley,11/6/1998,8/31/2017
5726 Brown Pass,4/14/1972,4/5/2021
7 Brentwood Way,8/11/1995,1/27/2020
1849 Old Shore Court,5/26/1961,12/30/2018
3148 Sunbrook Avenue,10/3/1962,3/26/2017
76 4th Lane,11/14/1997,4/10/2020
7684 Toban Point,8/17/1969,1/10/2020
7 Oak Valley Street,12/15/2001,5/4/2017
4581 Warbler Plaza,5/3/1997,7/3/2017
8550 Russell Court,6/6/1984,12/28/2018
31590 Hoard Drive,8/7/1977,2/25/2021
631 Brickson Park Park,3/15/1998,6/11/2019
32 Towne Place,1/20/1964,7/21/2018
30606 Mayfield Drive,1/5/1995,10/13/2016
712 Lyons Way,1/1/1967,11/3/2017
60104 Bonner Plaza,2/4/1969,9/5/2017
203 Scofield Alley,11/1/1962,8/29/2021
914 Dexter Road,10/2/1964,3/22/2021
1 Maple Lane,3/19/1986,4/20/2017
6 Fuller Hill,9/4/1965,5/9/2020
729 Banding Lane,3/26/1972,3/15/2019
15 Meadow Vale Alley,7/2/1962,5/19/2019
6 Morning Parkway,10/9/1963,2/26/2018
99 Towne Junction,12/11/1962,1/9/2018
68 8th Alley,8/22/1989,10/17/2018
2 Buell Place,9/16/1999,8/11/2018
0 Barby Crossing,6/1/1978,10/1/2017
020 Summerview Trail,5/6/2000,8/16/2018
715 Hoard Avenue,10/8/1993,8/5/2020
47188 Bartillon Terrace,10/23/2002,8/21/2017
64 Bultman Terrace,8/6/1970,10/3/2021
20 Surrey Point,5/19/1964,8/12/2019
19838 3rd Avenue,5/29/1992,5/12/2019
5672 Rutledge Pass,7/19/1988,3/27/2021
219 Killdeer Court,2/26/1997,8/13/2020
33815 Brentwood Drive,2/16/1966,2/28/2021
8303 Pine View Trail,3/14/1968,10/31/2019
939 Steensland Drive,10/28/1971,5/30/2020
27 Mosinee Plaza,4/22/1974,4/24/2019
77392 Red Cloud Place,5/8/1996,2/8/2017
96532 Spohn Crossing,11/21/1991,7/25/2021
0467 Grasskamp Alley,10/8/1970,12/12/2018
56 Service Hill,1/17/1995,6/14/2017
08 Carey Circle,9/11/2005,6/19/2017
2 Loomis Circle,1/20/1973,7/21/2019
620 Esker Lane,3/29/1984,2/3/2020
30267 Mayer Way,5/5/1971,1/9/2021
6 Oak Valley Trail,8/25/1985,5/28/2017
67 Roxbury Place,10/7/1994,4/9/2021
728 Lukken Terrace,2/6/1966,12/5/2019
65737 Macpherson Pass,12/11/1986,5/26/2019
3 Ludington Center,3/20/1986,3/22/2017
8 Butterfield Avenue,6/7/1963,4/18/2021
546 Lake View Point,9/30/2001,12/29/2020
2997 Scott Trail,5/22/1972,12/27/2020
5443 Sachs Circle,3/19/1969,12/13/2020
3 Crownhardt Circle,4/4/1985,11/12/2018
25787 Oxford Way,10/18/1998,10/10/2018
69 Spaight Junction,2/8/1985,1/9/2017
997 Dahle Trail,11/9/1990,12/12/2019
3679 Pine View Point,8/28/1964,8/8/2018
446 Moulton Plaza,9/11/1990,12/5/2016
424 Forest Dale Center,2/21/1982,4/29/2017
5793 Nobel Circle,6/4/1978,8/10/2020
6341 Nancy Trail,6/14/1969,12/9/2018
155 Utah Crossing,1/16/1998,8/29/2020
9 Barby Circle,10/26/1987,4/21/2019
678 5th Park,12/1/1979,1/3/2017
